id,upso_num,upso_name,dong_name,address,area,tell_num,upjong,code,item,price,check_date,gu_name
1,1.42E+12,바닐라포토스튜디오,중화동,서울특별시 중랑구 동일로 838 (중화동),,439-6344,기타서비스,1.42E+12,사진 촬영료,15000,00:00.0,중랑구
2,1.42E+12,바닐라포토스튜디오,중화동,서울특별시 중랑구 동일로 838 (중화동),,439-6344,기타서비스,1.42E+12,사진 인화료,400,00:00.0,중랑구
3,1.54E+12,스시최,합정동,서울특별시 마포구 독막로8길 23 (합정동),,02-3144-1320,일식,1.42E+12,생선초밥,10000,00:00.0,마포구
4,1.46E+12,서울노래방,중화동,서울특별시 중랑구 중랑역로 42 (중화동),,02-495-4251,기타서비스,1.42E+12,노래방 이용료,25000,00:00.0,중랑구
5,1.42E+12,디지털동부,중화동,서울특별시 중랑구 봉화산로 81 (중화동),,02-493-1568,기타서비스,1.42E+12,사진 촬영료,15000,00:00.0,중랑구
6,1.42E+12,디지털동부,중화동,서울특별시 중랑구 봉화산로 81 (중화동),,02-493-1568,기타서비스,1.42E+12,사진 인화료,400,00:00.0,중랑구
7,1.42E+12,원칼라사진관,중화동,서울특별시 중랑구 동일로 778 (중화동 차돌체육관),,02-496-6229,기타서비스,1.42E+12,사진 촬영료,17000,00:00.0,중랑구
8,1.42E+12,원칼라사진관,중화동,서울특별시 중랑구 동일로 778 (중화동 차돌체육관),,02-496-6229,기타서비스,1.42E+12,사진 인화료,400,00:00.0,중랑구
9,1.42E+12,J&amp;A골프스쿨,중화동,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트),0,495-4971,기타서비스,1.42E+12,골프연습장 이용료,130000,00:00.0,중랑구
10,1.42E+12,sbs노래연습장,중화동,서울특별시 중랑구 동일로 836 지층 (중화동),,0,기타서비스,1.42E+12,노래방 이용료,25000,00:00.0,중랑구
11,1.51E+12,정예수선,중화동,서울특별시 중랑구 동일로126길 14 (중화동),,02-433-4225,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
12,1.46E+12,옥이노래방,중화동,서울특별시 중랑구 중랑역로 127 (중화동 토담한의원),,02-0000-0000,기타서비스,1.42E+12,노래방 이용료,20000,00:00.0,중랑구
13,1.51E+12,경훈이네옷수선,중화동,서울특별시 중랑구 동일로130길 69 (중화동),,,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
14,1.42E+12,열린노래방,중화동,서울특별시 중랑구 동일로 762 지층 (중화동),90,02-493-7836,기타서비스,1.42E+12,노래방 이용료,25000,00:00.0,중랑구
15,1.42E+12,중화노래방,중화동,서울특별시 중랑구 동일로130길 16 지층 (중화동),,02-432-3153,기타서비스,1.42E+12,노래방 이용료,25000,00:00.0,중랑구
16,1.46E+12,춘자노래방,중화동,서울특별시 중랑구 봉화산로 34 (중화동),,02-0000-0000,기타서비스,1.42E+12,노래방 이용료,20000,00:00.0,중랑구
17,1.42E+12,앵콜노래방,중화동,서울특별시 중랑구 동일로 756 (중화동),0,02-0000-0000,기타서비스,1.42E+12,노래방 이용료,25000,00:00.0,중랑구
18,1.42E+12,미미세탁,중화동,서울특별시 중랑구 동일로136길 25 (중화동),,02-463-1786,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
19,1.42E+12,우리식당,합정동,서울특별시 마포구 어울마당로 17-1 (합정동),26,322-2555,한식,1.42E+12,삼겹살,12000,00:00.0,마포구
20,1.42E+12,불타는삼겹살,봉천동,서울특별시 관악구 은천로 114 (봉천동),,02-878-8071,한식,1.42E+12,갈비탕,7000,00:00.0,관악구
21,1.42E+12,미미세탁,중화동,서울특별시 중랑구 동일로136길 25 (중화동),,02-463-1786,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
22,1.42E+12,크린토피아,중화동,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트),,02-2209-0961,기타서비스,1.42E+12,의복수선료,5000,00:00.0,중랑구
23,1.42E+12,크린토피아,중화동,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트),,02-2209-0961,세탁업,1.42E+12,양복 세탁료,5400,00:00.0,중랑구
24,1.42E+12,영신컴퓨터세탁,중화동,서울특별시 중랑구 상봉중앙로5길 38 (중화동),29,02-434-2909,기타서비스,1.42E+12,의복수선료,5000,00:00.0,중랑구
25,1.42E+12,영신컴퓨터세탁,중화동,서울특별시 중랑구 상봉중앙로5길 38 (중화동),29,02-434-2909,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
26,1.55E+12,개울가의빨래터,중화동,서울특별시 중랑구 동일로140길 16 (중화동 감로빌딩),,02-495-9022,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
27,1.55E+12,개울가의빨래터,중화동,서울특별시 중랑구 동일로140길 16 (중화동 감로빌딩),,02-495-9022,세탁업,1.48E+12,의복수선료,4000,00:00.0,중랑구
28,1.42E+12,한독세탁,중화동,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트),,433-2058,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
29,1.42E+12,한독세탁,중화동,서울특별시 중랑구 동일로 752 (중화동 중화한신아파트),,433-2058,세탁업,1.42E+12,양복 세탁료,6000,00:00.0,중랑구
30,1.42E+12,금성세탁,중화동,서울특별시 중랑구 동일로130길 19 (중화동),21,02-435-9994,기타서비스,1.42E+12,의복수선료,5000,00:00.0,중랑구
31,1.42E+12,금성세탁,중화동,서울특별시 중랑구 동일로130길 19 (중화동),21,02-435-9994,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
32,1.42E+12,부흥세탁,중화동,서울특별시 중랑구 봉화산로21길 14-7 (중화동),,433-3762,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
33,1.42E+12,부흥세탁,중화동,서울특별시 중랑구 봉화산로21길 14-7 (중화동),,433-3762,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
34,1.42E+12,김밥친구,봉천동,서울특별시 관악구 관악로 211 (봉천동),,878-1352,한식,1.42E+12,조리라면,3000,00:00.0,관악구
35,1.42E+12,명품 옷수선 전문,중화동,서울특별시 중랑구 동일로144길 8 (중화동),,,기타서비스,1.42E+12,의복수선료,4000,00:00.0,중랑구
36,1.42E+12,화랑사,중화동,서울특별시 중랑구 동일로144가길 2 (중화동),,02-493-6995,기타서비스,1.42E+12,의복수선료,5000,00:00.0,중랑구
37,1.42E+12,화랑사,중화동,서울특별시 중랑구 동일로144가길 2 (중화동),,02-493-6995,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
38,1.42E+12,김밥친구,봉천동,서울특별시 관악구 관악로 211 (봉천동),,878-1352,한식,1.42E+12,김치찌개 백반,5500,00:00.0,관악구
39,1.42E+12,동아세탁소,중화동,서울특별시 중랑구 동일로130길 52 (중화동),,02-493-4561,기타서비스,1.42E+12,의복수선료,5000,00:00.0,중랑구
40,1.42E+12,동아세탁소,중화동,서울특별시 중랑구 동일로130길 52 (중화동),,02-493-4561,세탁업,1.42E+12,양복 세탁료,8000,00:00.0,중랑구
